Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,145000,029,0260,17925 ,00000 ,429 ,999,99999, , ,81415      ,4,8,12,Crawford town,1,1,50000,0,0,0,0,0,0,0,0,0,1,1,50000,0,0,0,0,0,0,0,0,0
2024,08,147000,079,0796,14765 ,00000 ,315 ,999,99999, , ,81130      ,4,8,12,City of Creede town,3,3,460730,0,0,0,0,0,0,0,0,0,3,3,460730,0,0,0,0,0,0,0,0,0
2024,08,149000,051,0270,18310 ,00000 ,1682 ,999,99999, , ,81224      ,4,8,12,Crested Butte town,8,8,17058152,0,0,0,0,0,0,3,34,8291484,8,8,17058152,0,0,0,0,0,0,3,34,8291484
2024,08,150000,109,0275,18420 ,00000 ,138 ,999,99999, , ,81131      ,4,8,12,Crestone town,0,0,0,0,0,0,0,0,0,1,24,5600000,0,0,0,0,0,0,0,0,0,1,24,5600000
2024,08,151000,119,0280,18530 ,00000 ,1266 ,999,17820, , ,80813      ,4,8,12,Cripple Creek,13,13,5411046,0,0,0,0,0,0,0,0,0,13,13,5411046,0,0,0,0,0,0,0,0,0
2024,08,153000,075,0285,18640 ,00000 ,110 ,999,44540, , ,80726      ,4,8,12,Crook town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,155000,025,    ,99990 ,00000 ,3948 ,999,99999, , ,81063      ,4,8,0,Crowley County Unincorporated Area,4,4,1348344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,157000,025,0290,18750 ,00000 ,166 ,999,99999, , ,810330036  ,4,8,12,Crowley town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,159000,027,    ,99990 ,00000 ,3750 ,999,99999, , ,81252      ,4,8,0,Custer County Unincorporated Area,100,100,31684327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,161000,123,0295,19080 ,00000 ,6572 ,216,24540, , ,805140186  ,4,8,12,Dacono,12,12,5028359,0,0,0,0,0,0,0,0,0,12,12,5028359,0,0,0,0,0,0,0,0,0
