Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
2024,08,597000,117,1222,70525 ,00000 ,4906 ,999,14720, , ,80498      ,4,8,12,Silverthorne town,0,0,0,0,0,0,0,0,0,2,61,26000000,0,0,0,0,0,0,0,0,0,2,61,26000000
2024,08,599000,111,1225,70580 ,00000 ,679 ,999,99999, , ,814330250  ,4,8,12,Silverton town,8,8,2110000,1,2,700000,0,0,0,0,0,0,8,8,2110000,1,2,700000,0,0,0,0,0,0
2024,08,601000,039,1230,70635 ,00000 ,690 ,216,19740, , ,80835      ,4,8,12,Simla town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,603000,097,1236,71755 ,00000 ,2760 ,233,40090, , ,81615      ,4,8,12,Snowmass Village town,1,1,12478210,0,0,0,0,0,0,1,89,215000000,1,1,12478210,0,0,0,0,0,0,1,89,215000000
2024,08,605000,009,1240,73330 ,00000 ,1364 ,999,99999, , ,81073      ,4,8,12,Springfield town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,611000,075,1255,73935 ,00000 ,14078 ,999,44540, ,2,807510400  ,4,8,12,Sterling,1,1,267970,0,0,0,0,0,0,0,0,0,1,1,267970,0,0,0,0,0,0,0,0,0
2024,08,613000,063,1260,74485 ,00000 ,640 ,999,99999, , ,80836      ,4,8,12,Stratton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,615000,025,1265,74815 ,00000 ,244 ,999,99999, , ,810760060  ,4,8,0,Sugar City town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,617000,117,    ,99990 ,00000 ,15927 ,999,14720,2, ,804435660  ,4,8,12,Summit County Unincorporated Area,60,60,27733836,0,0,0,0,0,0,1,27,6573190,60,60,27733836,0,0,0,0,0,0,1,27,6573190
2024,08,619000,013,1270,75640 ,00000 ,13413 ,216,14500,2, ,80027      ,4,8,12,Superior town,105,105,35073789,1,2,455409,11,44,5938800,1,6,2848806,105,105,35073789,1,2,455409,11,44,5938800,1,6,2848806
2024,08,623000,089,1275,75970 ,00000 ,595 ,999,99999,2, ,81077      ,4,8,12,Swink town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,625000,119,    ,99990 ,00000 ,15655 ,999,17820,2, ,80863      ,4,8,12,Teller County Unincorporated Area,94,94,23898519,0,0,0,0,0,0,0,0,0,94,94,23898519,0,0,0,0,0,0,0,0,0
2024,08,627000,113,1280,76795 ,00000 ,2416 ,999,99999, , ,81435      ,4,8,12,Telluride town,12,12,47352338,0,0,0,0,0,0,0,0,0,12,12,47352338,0,0,0,0,0,0,0,0,0
2024,08,629000,001,1285,77290 ,00000 ,148113 ,216,19740,2, ,80229      ,4,8,12,Thornton,166,166,73876221,0,0,0,0,0,0,2,81,13883242,166,166,73876221,0,0,0,0,0,0,2,81,13883242
2024,08,631000,069,1290,77510 ,00000 ,3172 ,999,22660,2, ,80547      ,4,8,12,Timnath town,289,289,116970193,0,0,0,0,0,0,1,6,1906286,289,289,116970193,0,0,0,0,0,0,1,6,1906286
2024,08,633000,071,1295,78610 ,00000 ,8127 ,999,99999, , ,81082      ,4,8,12,Trinidad,1,1,300000,0,0,0,0,0,0,0,0,0,1,1,300000,0,0,0,0,0,0,0,0,0
2024,08,637000,037,1307,80040 ,00000 ,5489 ,233,20780, , ,81657      ,4,8,0,Vail town,7,7,21505972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,639000,119,1310,80865 ,00000 ,426 ,999,17820, , ,80860      ,4,8,12,Victor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,645000,057,1325,82130 ,00000 ,609 ,999,99999, , ,80480      ,4,8,12,Walden town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,647000,055,1330,82350 ,00000 ,3003 ,999,99999, , ,81089      ,4,8,12,Walsenburg,0,0,0,0,0,0,0,0,0,2,17,2100000,0,0,0,0,0,0,0,0,0,2,17,2100000
2024,08,649000,009,1335,82460 ,00000 ,513 ,999,99999, , ,810900280  ,4,8,12,Walsh town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,651000,013,1340,82735 ,00000 ,168 ,216,14500, , ,80481      ,4,8,12,Ward town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,653000,121,    ,99990 ,00000 ,2709 ,999,99999, , ,80720      ,4,8,12,Washington County Unincorporated Area,2,2,500000,0,0,0,0,0,0,0,0,0,2,2,500000,0,0,0,0,0,0,0,0,0
2024,08,655000,123,    ,99990 ,00000 ,54551 ,216,24540, , ,80631      ,4,8,12,Weld County Unincorporated Area,97,97,32573103,0,0,0,0,0,0,0,0,0,97,97,32573103,0,0,0,0,0,0,0,0,0
2024,08,657000,069,1345,83230 ,00000 ,9620 ,999,22660, , ,80549      ,4,8,12,Wellington town,42,42,11737004,0,0,0,0,0,0,0,0,0,42,42,11737004,0,0,0,0,0,0,0,0,0
2024,08,659000,027,1350,83450 ,00000 ,692 ,999,99999, , ,81252      ,4,8,12,Westcliffe town,5,5,3365000,0,0,0,0,0,0,0,0,0,5,5,3365000,0,0,0,0,0,0,0,0,0
2024,08,661000,001,1355,83835 ,00000 ,69802 ,216,19740,2, ,80031      ,4,8,12,Westminster,69,69,21458481,0,0,0,0,0,0,2,71,12485941,69,69,21458481,0,0,0,0,0,0,2,71,12485941
2024,08,665000,059,1360,84440 ,00000 ,31857 ,216,19740, , ,800338001  ,4,8,0,Wheat Ridge,82,82,21874838,1,2,442400,0,0,0,10,79,13114477,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,667000,087,1363,84770 ,00000 ,1152 ,999,22820, , ,806548933  ,4,8,12,Wiggins town,3,3,1115000,0,0,0,0,0,0,0,0,0,3,3,1115000,0,0,0,0,0,0,0,0,0
2024,08,671000,043,1370,85155 ,00000 ,682 ,444,15860, , ,81226      ,4,8,12,Williamsburg town,4,4,870000,0,0,0,0,0,0,0,0,0,4,4,870000,0,0,0,0,0,0,0,0,0
2024,08,673000,123,4560,85485 ,00000 ,21374 ,216,24540,2, ,80550      ,4,8,11,Windsor town,566,566,229153650,1,2,275552,2,8,2221903,7,50,7385409,555,555,224817315,0,0,0,2,8,2221903,5,37,5885027
2024,08,675000,049,1377,85705 ,00000 ,1106 ,999,99999,2, ,80482      ,4,8,0,Winter Park town,103,103,34884173,0,0,0,0,0,0,2,10,1487102,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,677000,119,1380,86090 ,00000 ,8151 ,999,17820, , ,80866      ,4,8,12,Woodland Park,38,38,20560495,0,0,0,0,0,0,0,0,0,38,38,20560495,0,0,0,0,0,0,0,0,0
2024,08,679000,125,1385,86310 ,00000 ,2353 ,999,99999, , ,80758      ,4,8,0,Wray,12,12,2037336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,08,683000,125,1395,86750 ,00000 ,3497 ,999,99999, , ,80759      ,4,8,12,Yuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
