Vintage 2024 Prepared October 2025,,,,,,,,
countyfips,countyname,year,estimate,change,births,deaths,netmig,datatype
43,Fremont,1973,24731,1210,292,339,1257,Estimate
45,Garfield,1973,16438,430,254,143,319,Estimate
47,Gilpin,1973,1752,237,14,11,234,Estimate
49,Grand,1973,6138,449,104,31,376,Estimate
51,Gunnison,1973,8746,304,106,34,232,Estimate
53,Hinsdale,1973,288,19,0,0,19,Estimate
55,Huerfano,1973,6648,291,80,105,316,Estimate
57,Jackson,1973,2122,137,41,12,108,Estimate
59,Jefferson,1973,283938,20340,4097,1465,17708,Estimate
61,Kiowa,1973,2027,24,33,24,15,Estimate
63,Kit Carson,1973,7416,22,119,73,-24,Estimate
65,Lake,1973,8521,73,156,50,-33,Estimate
67,La Plata,1973,21395,1349,310,201,1240,Estimate
69,Larimer,1973,112038,6226,1582,702,5346,Estimate
71,Las Animas,1973,15703,-277,214,225,-266,Estimate
73,Lincoln,1973,4822,-80,64,52,-92,Estimate
75,Logan,1973,19437,306,289,175,192,Estimate
77,Mesa,1973,58827,1852,818,580,1614,Estimate
79,Mineral,1973,777,-61,9,9,-61,Estimate
81,Moffat,1973,7504,581,104,58,535,Estimate
83,Montezuma,1973,13654,-61,244,133,-172,Estimate
85,Montrose,1973,18769,419,266,176,329,Estimate
87,Morgan,1973,21595,234,366,212,80,Estimate
89,Otero,1973,23574,152,378,260,34,Estimate
91,Ouray,1973,1664,154,31,17,140,Estimate
93,Park,1973,2938,182,47,17,152,Estimate
95,Phillips,1973,4020,52,50,67,69,Estimate
97,Pitkin,1973,8124,690,105,24,609,Estimate
99,Prowers,1973,13444,82,241,130,-29,Estimate
101,Pueblo,1973,124232,3555,1922,1088,2721,Estimate
103,Rio Blanco,1973,4837,236,70,42,208,Estimate
105,Rio Grande,1973,10483,122,190,112,44,Estimate
107,Routt,1973,8658,642,115,56,583,Estimate
109,Saguache,1973,3936,-2,75,34,-43,Estimate
111,San Juan,1973,892,115,24,8,99,Estimate
113,San Miguel,1973,2276,244,38,20,226,Estimate
115,Sedgwick,1973,3310,-44,48,45,-47,Estimate
117,Summit,1973,4838,856,73,14,797,Estimate
119,Teller,1973,5053,540,69,31,502,Estimate
121,Washington,1973,5171,-260,58,68,-250,Estimate
123,Weld,1973,104037,5545,1674,735,4606,Estimate
125,Yuma,1973,8308,29,125,95,-1,Estimate
0,Colorado,1974,2543764,54173,38791,18254,33636,Estimate
1,Adams,1974,214619,3471,3756,1038,753,Estimate
3,Alamosa,1974,11511,-27,204,88,-143,Estimate
5,Arapahoe,1974,208669,10300,2829,998,8469,Estimate
7,Archuleta,1974,3149,204,51,21,174,Estimate
9,Baca,1974,5520,-110,83,61,-132,Estimate
11,Bent,1974,6141,121,82,73,112,Estimate
13,Boulder,1974,166393,7456,2066,851,6241,Estimate
15,Chaffee,1974,11744,190,171,118,137,Estimate
17,Cheyenne,1974,2304,10,33,24,1,Estimate
19,Clear Creek,1974,5752,25,110,37,-48,Estimate
21,Conejos,1974,8030,129,164,71,36,Estimate
23,Costilla,1974,3112,-85,42,33,-94,Estimate
25,Crowley,1974,3335,80,43,39,76,Estimate
27,Custer,1974,1164,12,16,10,6,Estimate
29,Delta,1974,17185,720,224,201,697,Estimate
31,Denver,1974,514875,-9139,7499,5070,-11568,Estimate
33,Dolores,1974,1442,-117,20,10,-127,Estimate
35,Douglas,1974,13115,1408,148,69,1329,Estimate
37,Eagle,1974,10344,803,168,49,684,Estimate
39,Elbert,1974,4728,56,55,40,41,Estimate
41,El Paso,1974,294169,5284,5768,1599,1115,Estimate
43,Fremont,1974,25726,995,333,351,1013,Estimate
45,Garfield,1974,17002,564,254,135,445,Estimate
47,Gilpin,1974,1701,-51,21,14,-58,Estimate
49,Grand,1974,6178,40,104,32,-32,Estimate
51,Gunnison,1974,9338,592,102,36,526,Estimate
53,Hinsdale,1974,323,35,3,5,37,Estimate
55,Huerfano,1974,6586,-62,87,97,-52,Estimate
57,Jackson,1974,1852,-270,40,10,-300,Estimate
59,Jefferson,1974,296686,12748,4218,1505,10035,Estimate
61,Kiowa,1974,1994,-33,34,27,-40,Estimate
63,Kit Carson,1974,7559,143,135,71,79,Estimate
65,Lake,1974,8505,-16,143,49,-110,Estimate
67,La Plata,1974,21971,576,317,199,458,Estimate
69,Larimer,1974,119903,7865,1603,726,6988,Estimate
71,Las Animas,1974,15694,-9,202,214,3,Estimate
73,Lincoln,1974,4885,63,66,50,47,Estimate
75,Logan,1974,19386,-51,284,176,-159,Estimate
77,Mesa,1974,60393,1566,832,583,1317,Estimate
79,Mineral,1974,803,26,11,6,21,Estimate
81,Moffat,1974,8278,774,127,66,713,Estimate
83,Montezuma,1974,14014,360,259,136,237,Estimate
85,Montrose,1974,19621,852,278,172,746,Estimate
87,Morgan,1974,21603,8,353,214,-131,Estimate
89,Otero,1974,23410,-164,386,262,-288,Estimate
91,Ouray,1974,1717,53,30,14,37,Estimate
93,Park,1974,2987,49,51,19,17,Estimate
95,Phillips,1974,3990,-30,54,60,-24,Estimate
97,Pitkin,1974,8529,405,107,25,323,Estimate
99,Prowers,1974,13456,12,237,134,-91,Estimate
101,Pueblo,1974,124568,336,1969,1108,-525,Estimate
103,Rio Blanco,1974,4977,140,69,45,116,Estimate
105,Rio Grande,1974,10686,203,205,122,120,Estimate
107,Routt,1974,8858,200,135,57,122,Estimate
109,Saguache,1974,4076,140,68,36,108,Estimate
111,San Juan,1974,834,-58,18,6,-70,Estimate
113,San Miguel,1974,2449,173,41,20,152,Estimate
115,Sedgwick,1974,3298,-12,51,45,-18,Estimate
117,Summit,1974,5555,717,70,16,663,Estimate
119,Teller,1974,5434,381,85,30,326,Estimate
121,Washington,1974,5163,-8,62,63,-7,Estimate
123,Weld,1974,108024,3987,1680,719,3026,Estimate
125,Yuma,1974,8451,143,135,99,107,Estimate
0,Colorado,1975,2576902,33138,39606,17637,11169,Estimate
1,Adams,1975,216880,2261,3908,1061,-586,Estimate
3,Alamosa,1975,11658,147,208,81,20,Estimate
5,Arapahoe,1975,218016,9347,3107,1007,7247,Estimate
7,Archuleta,1975,3390,241,54,26,213,Estimate
9,Baca,1975,5625,105,95,54,64,Estimate
11,Bent,1975,6337,196,83,74,187,Estimate
13,Boulder,1975,169181,2788,2073,811,1526,Estimate
15,Chaffee,1975,12024,280,173,109,216,Estimate
17,Cheyenne,1975,2224,-80,38,25,-93,Estimate
19,Clear Creek,1975,6005,253,133,32,152,Estimate
21,Conejos,1975,8034,4,159,67,-88,Estimate
23,Costilla,1975,3114,2,47,30,-15,Estimate
25,Crowley,1975,3307,-28,46,36,-38,Estimate
27,Custer,1975,1165,1,12,12,1,Estimate
29,Delta,1975,18202,1017,235,202,984,Estimate
31,Denver,1975,499371,-15504,7411,4728,-18187,Estimate
33,Dolores,1975,1581,139,24,14,129,Estimate
35,Douglas,1975,14647,1532,159,59,1432,Estimate
37,Eagle,1975,10619,275,171,50,154,Estimate
39,Elbert,1975,4919,191,63,35,163,Estimate
41,El Paso,1975,291339,-2830,5783,1569,-7044,Estimate
43,Fremont,1975,26228,502,331,348,519,Estimate
45,Garfield,1975,18024,1022,277,144,889,Estimate
47,Gilpin,1975,1846,145,28,15,132,Estimate
49,Grand,1975,6446,268,116,30,182,Estimate
51,Gunnison,1975,9396,58,98,41,1,Estimate
53,Hinsdale,1975,353,30,5,3,28,Estimate
55,Huerfano,1975,6630,44,96,87,35,Estimate
57,Jackson,1975,1724,-128,31,10,-149,Estimate
59,Jefferson,1975,312469,15783,4241,1503,13045,Estimate
61,Kiowa,1975,2051,57,36,23,44,Estimate
63,Kit Carson,1975,7661,102,143,64,23,Estimate
65,Lake,1975,8621,116,148,42,10,Estimate
67,La Plata,1975,23186,1215,349,177,1043,Estimate
69,Larimer,1975,120907,1004,1610,723,117,Estimate
71,Las Animas,1975,15632,-62,211,202,-71,Estimate
73,Lincoln,1975,4982,97,61,62,98,Estimate
75,Logan,1975,19243,-143,303,173,-273,Estimate
77,Mesa,1975,64569,4176,914,571,3833,Estimate
79,Mineral,1975,802,-1,9,4,-6,Estimate
81,Moffat,1975,9699,1421,142,61,1340,Estimate
83,Montezuma,1975,14701,687,282,122,527,Estimate
85,Montrose,1975,20468,847,286,175,736,Estimate
87,Morgan,1975,21729,126,348,197,-25,Estimate
89,Otero,1975,23934,524,397,248,375,Estimate
91,Ouray,1975,1816,99,29,15,85,Estimate
93,Park,1975,3225,238,53,23,208,Estimate
95,Phillips,1975,4235,245,60,53,238,Estimate
97,Pitkin,1975,8987,458,110,27,375,Estimate
99,Prowers,1975,13684,228,230,143,141,Estimate
101,Pueblo,1975,125520,952,1953,1081,80,Estimate
103,Rio Blanco,1975,5086,109,81,46,74,Estimate
105,Rio Grande,1975,10795,109,198,117,28,Estimate
107,Routt,1975,9497,639,148,54,545,Estimate
109,Saguache,1975,4098,22,71,30,-19,Estimate
